athlete,athlete_id,medals_won,sport,rank
,46071,5,Diving,6
,116070,5,Diving,7
,116031,5,Diving,8
,122304,5,Diving,9
,90623,5,Diving,10
,11503,12,Equestrian Dressage,1
,11490,9,Equestrian Dressage,2
,12244,8,Equestrian Dressage,3
,12487,6,Equestrian Dressage,4
,125495,6,Equestrian Dressage,5
,12196,5,Equestrian Dressage,6
,11469,5,Equestrian Dressage,7
,11744,5,Equestrian Dressage,8
,11966,5,Equestrian Dressage,9
,11395,5,Equestrian Dressage,10
,80291,1,Equestrian Driving,1
,11841,1,Equestrian Driving,2
,12478,1,Equestrian Driving,3
,12574,6,Equestrian Eventing,1
,12141,6,Equestrian Eventing,2
,12855,6,Equestrian Eventing,3
,12534,5,Equestrian Eventing,4
,11808,4,Equestrian Eventing,5
,12782,4,Equestrian Eventing,6
,12822,4,Equestrian Eventing,7
,12849,4,Equestrian Eventing,8
,125637,4,Equestrian Eventing,9
,12669,3,Equestrian Eventing,10
,13010,7,Equestrian Jumping,1
,11606,6,Equestrian Jumping,2
,11887,6,Equestrian Jumping,3
,11886,6,Equestrian Jumping,4
,11981,4,Equestrian Jumping,5
,107023,4,Equestrian Jumping,6
,12194,4,Equestrian Jumping,7
,12787,4,Equestrian Jumping,8
,107020,4,Equestrian Jumping,9
,12711,4,Equestrian Jumping,10
,11965,2,Equestrian Vaulting,1
,11961,2,Equestrian Vaulting,2
,11656,2,Equestrian Vaulting,3
,12050,1,Equestrian Vaulting,4
,12685,1,Equestrian Vaulting,5
,12477,1,Equestrian Vaulting,6
,11738,1,Equestrian Vaulting,7
,12910,1,Equestrian Vaulting,8
,12497,1,Equestrian Vaulting,9
,22677,13,Fencing,1
,22451,10,Fencing,2
,22668,9,Fencing,3
,20803,9,Fencing,4
,21772,8,Fencing,5
,20800,8,Fencing,6
,21846,8,Fencing,7
,22483,7,Fencing,8
,22684,7,Fencing,9
,21763,6,Fencing,10
,119121,5,Figure Skating,1
,119129,5,Figure Skating,2
,101967,4,Figure Skating,3
,128356,4,Figure Skating,4
,86175,4,Figure Skating,5
,119064,3,Figure Skating,6
,81707,3,Figure Skating,7
,101243,3,Figure Skating,8
,127487,3,Figure Skating,9
,85233,3,Figure Skating,10
,111155,3,Football,1
,111213,3,Football,2
,122762,3,Football,3
,25375,3,Football,4
,27683,3,Football,5
,90954,3,Football,6
,27674,3,Football,7
,90907,3,Football,8
,25684,3,Football,9
,25734,3,Football,10
,119040,3,Freestyle Skiing,1
,127471,3,Freestyle Skiing,2
,118979,3,Freestyle Skiing,3
,82892,3,Freestyle Skiing,4
,138056,3,Freestyle Skiing,5
,128711,3,Freestyle Skiing,6
,139214,3,Freestyle Skiing,7
,128715,3,Freestyle Skiing,8
,138294,2,Freestyle Skiing,9
,110337,2,Freestyle Skiing,10
,131287,2,Golf,1
,18185,2,Golf,2
,18182,2,Golf,3
,18159,2,Golf,4
,18177,1,Golf,5
,18149,1,Golf,6
,18179,1,Golf,7
,18191,1,Golf,8
,18174,1,Golf,9
,2786,1,Golf,10
,112019,4,Handball,1
,113759,4,Handball,2
,32625,4,Handball,3
,32379,4,Handball,4
,108666,4,Handball,5
,108665,4,Handball,6
,32736,3,Handball,7
,32611,3,Handball,8
,112020,3,Handball,9
,32737,3,Handball,10
,114027,4,Hockey,1
,114028,4,Hockey,2
,19159,4,Hockey,3
,91766,4,Hockey,4
,19736,4,Hockey,5
,19312,4,Hockey,6
,19227,3,Hockey,7
,19762,3,Hockey,8
